№корня;Корень;Наименование;Наимевание
13;Бытовая техника;Кофеварки и кофемашины;Аксессуары для кофеварок 
13;Бытовая техника;Встраиваемая техника;Варочные панели 
13;Бытовая техника;Встраиваемая техника;Электрические варочные панели
13;Бытовая техника;Встраиваемая техника;Индукционные варочные панели
13;Бытовая техника;Встраиваемая техника;Газовые варочные панели
13;Бытовая техника;Встраиваемая техника;Духовые шкафы 
13;Бытовая техника;Встраиваемая техника;Электрические духовые шкафы
13;Бытовая техника;Встраиваемая техника;Газовые духовые шкафы
13;Бытовая техника;Встраиваемая техника;Встраиваемые посудомоечные машины 
13;Бытовая техника;Встраиваемая техника;Встраиваемые стиральные машины 
13;Бытовая техника;Встраиваемая техника;Встраиваемые холодильники 
13;Бытовая техника;Встраиваемая техника;Встраиваемые морозильники 
13;Бытовая техника;Встраиваемая техника;Встраиваемые микроволновые печи 
13;Бытовая техника;Встраиваемая техника;Вытяжки 
13;Бытовая техника;Встраиваемая техника;Комплекты 
13;Бытовая техника;Встраиваемая техника;Прочая встраиваемая техника
