№корня;Корень;наименование;наименование;наименование;наименование
3;Красота и здоровье;Косметика;Средства для маникюра и педикюра;Средства жидкие для маникюра и педикюра;Наборы жидких средств для маникюра и педикюра
3;Красота и здоровье;Косметика;Средства для маникюра и педикюра;Средства для украшения и ухода за ногтями;Инструменты маникюрные и педикюрные
3;Красота и здоровье;Косметика;Средства для маникюра и педикюра;Средства для украшения и ухода за ногтями;Декоративные украшения для ногтей
3;Красота и здоровье;Косметика;Средства для маникюра и педикюра;Средства для украшения и ухода за ногтями;Наборы ногтей
3;Красота и здоровье;Косметика;Косметические аксессуары;Аксессуары для укладки волос и сохранения прически;Бигуди 
3;Красота и здоровье;Косметика;Косметические аксессуары;Аксессуары для укладки волос и сохранения прически;Резинки и заколки, шпильки для волос и др.
3;Красота и здоровье;Косметика;Косметические аксессуары;Аксессуары для укладки волос и сохранения прически;Расчески, гребни, щетки для волос
3;Красота и здоровье;Косметика;Косметические аксессуары;Аксессуары декоративно-косметические;Спонжи, губки, рукавички для нанесения  макияжа
3;Красота и здоровье;Косметика;Косметические аксессуары;Аксессуары декоративно-косметические;Кисточки макияжные
3;Красота и здоровье;Косметика;Косметические аксессуары;Аксессуары декаративно-косметические;Зеркала компактные
3;Красота и здоровье;Косметика;Косметические аксессуары;Аксессуары декаративно-косметические;Пинцет для бровей 
3;Красота и здоровье;Косметика;Косметические аксессуары;Аксессуары для ухода за ногтями ;Ножницы, кусачки маникюрные 
3;Красота и здоровье;Косметика;Косметические аксессуары;Аксессуары для ухода за ногтями ;Полировки, пилочки для ногтей
3;Красота и здоровье;Косметика;Косметические аксессуары;Аксессуары для ухода за ногтями ;Маникюрные наборы 
3;Красота и здоровье;Косметика;Косметические аксессуары;Аксессуары для ухода за ногтями ;Разделитель для пальцев
3;Красота и здоровье;Косметика;Косметические аксессуары;Аксессуары для ухода за ногтями ;Накладные ногти, стразы
3;Красота и здоровье;Парфюмерия;Дезодоранты и парфюмерия;Дезодоранты и парфюмерия женская;Дезодоранты женские спреи
3;Красота и здоровье;Парфюмерия;Дезодоранты и парфюмерия;Дезодоранты и парфюмерия женская;Дезодоранты женские стики
3;Красота и здоровье;Парфюмерия;Дезодоранты и парфюмерия;Дезодоранты и парфюмерия женская;Дезодоранты женские ролики
3;Красота и здоровье;Парфюмерия;Дезодоранты и парфюмерия;Дезодоранты и парфюмерия женская;Дезодоранты женские гели
3;Красота и здоровье;Парфюмерия;Дезодоранты и парфюмерия;Дезодоранты и парфюмерия женская;Парфюмерия женская
3;Красота и здоровье;Парфюмерия;Дезодоранты и парфюмерия;Дезодоранты и парфюмерия женская;Наборы парфюмерные женские
3;Красота и здоровье;Парфюмерия;Дезодоранты и парфюмерия;Дезодоранты и парфюмерия мужская;Дезодоранты мужские спреи
3;Красота и здоровье;Парфюмерия;Дезодоранты и парфюмерия;Дезодоранты и парфюмерия мужская;Дезодоранты мужские стики
3;Красота и здоровье;Парфюмерия;Дезодоранты и парфюмерия;Дезодоранты и парфюмерия мужская;Дезодоранты мужские ролики
3;Красота и здоровье;Парфюмерия;Дезодоранты и парфюмерия;Дезодоранты и парфюмерия мужская;Дезодоранты мужские гели
3;Красота и здоровье;Парфюмерия;Дезодоранты и парфюмерия;Дезодоранты и парфюмерия мужская;Парфюмерия мужская
3;Красота и здоровье;Парфюмерия;Дезодоранты и парфюмерия;Дезодоранты и парфюмерия мужская;Наборы парфюмерные мужские
3;Красота и здоровье;Здоровое питание;Диетическое и здоровое питание;Сахарозаменители;Фруктоза
3;Красота и здоровье;Здоровое питание;Диетическое и здоровое питание;Сахарозаменители;Синтетические сахарозаменители
3;Красота и здоровье;Здоровое питание;Диетическое и здоровое питание;Биологически активные добавки;Биологич активные добав натур
3;Красота и здоровье;Здоровое питание;Диетическое и здоровое питание;Товары д/завтрака д/здоров пит б/сахара ;Хлебцы, сухарики  
3;Красота и здоровье;Здоровое питание;Диетическое и здоровое питание;Товары д/завтрака д/здоров пит б/сахара ;Хлопья , мюсли
3;Красота и здоровье;Здоровое питание;Диетическое и здоровое питание;Товары д/завтрака д/здоров пит б/сахара ;Гот завтраки, подуш, колечки
3;Красота и здоровье;Здоровое питание;Диетическое и здоровое питание;Товары д/завтрака д/здоров пит б/сахара ;Каши быстрого приготовления 
3;Красота и здоровье;Здоровое питание;Диетическое и здоровое питание;Товары д/завтрака д/здоров пит б/сахара ;Отруби, заменитель хлеба
3;Красота и здоровье;Здоровое питание;Диетическое и здоровое питание;Бакалея для здорового питания;Мак-е изделия низкокалорийные
3;Красота и здоровье;Здоровое питание;Диетическое и здоровое питание;Бакалея для здорового питания;Ростки зернобобовых
3;Красота и здоровье;Здоровое питание;Диетическое и здоровое питание;Бакалея для здорового питания;Соевые продукты питания
3;Красота и здоровье;Здоровое питание;Диетическое и здоровое питание;Мучные конд изд-я для здор/пит б/сахара;Вафли
3;Красота и здоровье;Здоровое питание;Диетическое и здоровое питание;Мучные конд изд-я для здор/пит б/сахара;Печенье, крекер, сушки 
3;Красота и здоровье;Здоровое питание;Диетическое и здоровое питание;Мучные конд изд-я для здор/пит б/сахара;Пряники 
3;Красота и здоровье;Здоровое питание;Диетическое и здоровое питание;Сладкие конд изд-я д/здор пит на основе зам сах.;Батончики 
3;Красота и здоровье;Здоровое питание;Диетическое и здоровое питание;Сладкие конд изд-я д/здор пит на основе зам сах.;Мармелад 
3;Красота и здоровье;Здоровое питание;Диетическое и здоровое питание;Сладкие конд изд-я д/здор пит на основе зам сах.;Конфеты, карамель, халва
3;Красота и здоровье;Здоровое питание;Диетическое и здоровое питание;Сладкие конд изд-я д/здор пит на основе зам сах.;Шоколад, шоколадные конфеты
3;Красота и здоровье;Здоровое питание;Диетическое и здоровое питание;Сладкие конд изд-я д/здор пит на основе зам сах.;Варенье 
3;Красота и здоровье;Здоровое питание;Диетическое и здоровое питание;Сладкие конд изд-я д/здор пит на основе зам сах.;Джем, желе, конфитюры 
3;Красота и здоровье;Здоровое питание;Диетическое и здоровое питание;Соки,напитки,сиропы д/здор пит;Соки 
3;Красота и здоровье;Здоровое питание;Диетическое и здоровое питание;Соки,напитки,сиропы д/здор пит;Сиропы 
3;Красота и здоровье;Здоровое питание;Диетическое и здоровое питание;Соки,напитки,сиропы д/здор пит;Соевые напитки
3;Красота и здоровье;Здоровое питание;Диетическое и здоровое питание;Чай, кофе, напитки д/здор пит;Чай без кофеина, фито чаи
3;Красота и здоровье;Здоровое питание;Диетическое и здоровое питание;Чай, кофе, напитки д/здор пит;Цикорий
3;Красота и здоровье;Здоровое питание;Диетическое и здоровое питание;Приправы и специи д/здор пит;Соль профилактическая
